imagewall,type,dominant_color,representative_colors
IW_Geral_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,Geral,#ece7e8,"#ece7e8,#464342,#84605a,#969092,#907d6b"
IW_Grupo_pais_Argentina_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,Grupo: Argentina,#f0ebee,"#f0ebee,#474443,#a38c61,#9e9091,#88644f"
IW_Grupo_pais_Brasil_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,Grupo: Brasil,#485949,"#485949,#e5ddd5,#51a7c2,#a59375,#9ecac5"
IW_Grupo_pais_Egito_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,Grupo: Egito,#29211c,"#29211c,#f4f1eb,#926643,#b78d5f,#a7998d"
IW_Grupo_pais_Estados Unidos_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,Grupo: Estados Unidos,#e3ded7,"#e3ded7,#3c5f4c,#a34a5a,#a39840,#869a93"
IW_Grupo_pais_França_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,Grupo: França,#e8e3db,"#e8e3db,#433d35,#7b6154,#928e88,#8e7d62"
IW_Grupo_pais_Reino Unido_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,Grupo: Reino Unido,#2a4956,"#2a4956,#e2ddd8,#b73747,#b89845,#889291"
